code,country,gdp_pc,lfp_ratio,tertiary_gpi,tfr,gdp_pc_year,lfp_ratio_year,tertiary_gpi_year,tfr_year,men_unpaid_min,women_unpaid_min,men_share_unpaid_pct,tertiary_parity,public_parity,private_parity,mismatch,log_gdp,nonmarital_pct,nonmarital_year,mismatch_c,nonmarital_pct_c,log_gdp_c,predicted_tfr,residual
MEX,Mexico,21970.3520412926,61.4051673897559,1.16029000282288,1.892,2024,2024,2024,2024,147.359370199201,348.516655805618,29.71697812988623,116.029000282288,88.71708383602194,59.43395625977246,29.283127576249484,9.99744918897775,73.68554952510176,2024,-4.689553941594639,33.63114290439517,-0.9109880936422883,1.5927076616322042,0.2992923383677957
POL,Poland,45153.0439773281,78.6846732145022,1.365110039711,1.14,2024,2024,2024,2024,189.473693847656,292.593627929688,39.304405274574826,136.5110039711,107.5978385928011,78.60881054914965,28.989028043651444,10.717812975782484,28.716723374111307,2023,-4.983653474192678,-11.337683246595287,-0.19062430683755416,1.287755976589096,-0.14775597658909612
SWE,Sweden,62558.4065876041,91.0110370064333,1.40059995651245,1.43,2024,2024,2024,2024,171.0,220.152883947186,43.716921699365166,140.059995651245,115.53551632883917,87.43384339873033,28.10167293010882,11.04385590474783,57.4477016721472,2023,-5.871008587735304,17.393295051440603,0.13541862212779066,1.4847634633185842,-0.05476346331858428
CAN,Canada,57534.0915185335,87.3440414058321,1.26879000663757,1.25,2024,2024,2023,2024,163.9218968153,247.182051444054,39.87358854356861,126.879000663757,107.11152103479456,79.74717708713722,27.36434394765733,10.960132947066562,28.982369966493327,2024,-6.608337570186794,-11.072036654213267,0.05169566444652318,1.2916724128097226,-0.04167241280972256
USA,United States,75698.1773354629,83.9769572253649,1.31957995891571,1.6265,2024,2024,2022,2024,159.102722167969,234.696731567383,40.40196619340463,131.957995891571,107.96747655846796,80.80393238680925,27.1635441716587,11.234509361664903,40.0,2023,-6.809137346185423,-0.054406620706593856,0.3260720790448648,1.367278550225538,0.25922144977446204
NOR,Norway,94803.6704931641,89.8291152930997,1.33644998073578,1.45,2024,2024,2024,2024,159.932403385848,212.059552540682,42.99351124072031,133.644998073578,111.73705668333884,85.98702248144062,25.75003420189823,11.4595634057759,61.1757690014043,2023,-8.222647315945892,21.121362380697704,0.5511261231558606,1.5149744352023031,-0.06497443520230317
NLD,Netherlands,70493.9051219267,87.1533312081607,1.16398000717163,1.43,2024,2024,2023,2024,145.417069878142,224.946109997294,39.263371139390806,116.398000717163,101.77566596266183,78.52674227878161,23.24892368388024,11.163281532891904,42.14010833682905,2023,-10.723757833963884,2.0857017161224576,0.25484425027186575,1.3881847389069846,0.041815261093015366
DNK,Denmark,71034.5789667138,87.895625568272,1.29445004463196,1.47,2024,2024,2024,2024,186.136081859719,242.808720907722,43.39394734679546,129.445004463196,108.670315015734,86.78789469359093,21.882420322143066,11.170922065164149,54.7,2021,-12.090261195701057,14.645593379293409,0.2624847825441101,1.4777914048729768,-0.007791404872976804
FIN,Finland,55901.3202296588,89.7341293091162,1.24652004241943,1.25,2024,2024,2024,2024,161.987690264496,208.748649916855,43.69350201419624,124.652004241943,107.1930667755296,87.38700402839247,19.806062747137133,10.93134327656839,48.40375262199479,2023,-14.16661877070699,8.349346001288197,0.02290599394835091,1.4375943386469698,-0.18759433864696984
DEU,Germany,62654.602264023,83.7403270000903,1.09973001480102,1.36,2024,2024,2024,2024,151.641156779146,232.621356855328,39.46290658041997,109.973001480102,96.85666424009617,78.92581316083994,17.930851079256215,11.045392417546726,33.07628259611624,2023,-16.04183043858791,-6.97812402459035,0.1369551349266871,1.3327952147237672,0.027204785276232935
